,fisherman_age,fisherman_experience_years,life_threatening_disaster_count,how_often_used_signs,how_long_used_signs_years,num_matched_rules,pattern_ratio,weighted_sum_norm,province_Aceh,province_D.I. Yogyakarta
0,23.0,3.0,2.0,3.5,3.0,0.0,0.0,0.0,1.0,0.0
1,40.0,10.0,2.0,18.0,10.0,4.0,6.257142857142857,0.6824310479199456,1.0,0.0
2,52.0,25.0,5.0,18.0,25.0,6.0,9.385714285714286,1.0,1.0,0.0
3,52.0,25.0,8.0,18.0,22.0,0.0,0.0,0.0,1.0,0.0
4,49.0,26.0,1.0,30.0,22.0,11.0,17.207142857142856,1.0,1.0,0.0
5,49.0,26.0,8.0,18.0,10.0,4.0,6.257142857142857,0.6658253478961974,1.0,0.0
6,25.0,2.0,2.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0
7,41.0,19.0,4.0,3.5,19.0,0.0,0.0,0.0,1.0,0.0
8,41.0,19.0,7.0,3.5,19.0,0.0,0.0,0.0,1.0,0.0
9,27.0,5.0,2.0,18.0,5.0,2.0,3.1285714285714286,0.3888577769935158,1.0,0.0
10,27.0,5.0,6.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0
11,36.0,10.0,5.0,3.5,10.0,0.0,0.0,0.0,1.0,0.0
12,36.0,10.0,8.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0
13,34.0,8.0,5.0,18.0,8.0,3.0,4.692857142857143,0.5008279851010237,1.0,0.0
14,34.0,8.0,4.0,22.0,8.0,0.0,0.0,0.0,1.0,0.0
15,39.0,14.0,8.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0
16,39.0,14.0,4.0,3.5,14.0,0.0,0.0,0.0,1.0,0.0
17,53.0,26.0,4.0,18.0,26.0,3.0,4.692857142857143,0.5008279851010237,1.0,0.0
18,53.0,26.0,8.0,3.0,26.0,0.0,0.0,0.0,1.0,0.0
19,53.0,26.0,4.0,3.5,26.0,0.0,0.0,0.0,1.0,0.0
20,53.0,26.0,6.0,20.0,26.0,0.0,0.0,0.0,1.0,0.0
21,44.0,20.0,5.0,3.5,20.0,0.0,0.0,0.0,1.0,0.0
22,44.0,20.0,2.0,22.0,20.0,0.0,0.0,0.0,1.0,0.0
23,38.0,18.0,1.0,30.0,18.0,11.0,17.207142857142856,1.0,1.0,0.0
24,38.0,18.0,2.0,3.5,18.0,0.0,0.0,0.0,1.0,0.0
25,39.0,7.0,5.0,18.0,7.0,4.0,6.257142857142857,0.7206573034707956,1.0,0.0
26,39.0,7.0,4.0,3.5,7.0,0.0,0.0,0.0,1.0,0.0
27,47.0,23.0,8.0,3.5,23.0,0.0,0.0,0.0,1.0,0.0
28,47.0,23.0,5.0,5.0,23.0,0.0,0.0,0.0,1.0,0.0
29,29.0,9.0,4.0,18.0,9.0,4.0,6.257142857142857,0.6589097816710877,1.0,0.0
30,29.0,9.0,3.0,5.5,9.0,0.0,0.0,0.0,1.0,0.0
31,30.0,12.0,8.0,18.0,12.0,4.0,6.257142857142857,0.7412601373938895,1.0,0.0
32,30.0,12.0,6.0,5.5,12.0,0.0,0.0,0.0,1.0,0.0
33,36.0,11.0,4.0,3.5,11.0,1.0,1.5642857142857143,0.9621647226005093,1.0,0.0
34,36.0,11.0,2.0,22.0,11.0,0.0,0.0,0.0,1.0,0.0
35,26.0,7.0,2.0,3.5,7.0,0.0,0.0,0.0,1.0,0.0
36,34.0,14.0,8.0,18.0,14.0,4.0,6.257142857142857,0.6824310479199456,1.0,0.0
37,34.0,14.0,4.0,5.0,14.0,0.0,0.0,0.0,1.0,0.0
38,42.0,21.0,4.0,18.0,21.0,2.0,3.1285714285714286,0.37627336718556315,1.0,0.0
39,42.0,21.0,5.0,5.5,21.0,0.0,0.0,0.0,1.0,0.0
40,42.0,21.0,6.0,3.5,21.0,0.0,0.0,0.0,1.0,0.0
41,45.0,21.0,5.0,5.5,21.0,0.0,0.0,0.0,1.0,0.0
42,45.0,21.0,4.0,3.5,21.0,0.0,0.0,0.0,1.0,0.0
43,56.0,27.0,1.0,30.0,27.0,11.0,17.207142857142856,1.0,1.0,0.0
44,56.0,27.0,7.0,18.0,27.0,4.0,6.257142857142857,0.7412601373938895,1.0,0.0
45,56.0,27.0,2.0,22.0,27.0,0.0,0.0,0.0,1.0,0.0
46,40.0,11.0,1.0,30.0,11.0,5.0,7.821428571428571,0.45454545454545453,1.0,0.0
47,40.0,11.0,8.0,5.5,11.0,0.0,0.0,0.0,1.0,0.0
48,38.0,9.0,5.0,3.5,9.0,0.0,0.0,0.0,1.0,0.0
49,38.0,9.0,4.0,3.5,9.0,0.0,0.0,0.0,1.0,0.0
50,47.0,14.0,6.0,5.5,14.0,0.0,0.0,0.0,1.0,0.0
51,47.0,14.0,4.0,3.5,14.0,0.0,0.0,0.0,1.0,0.0
